Species,Variable,flag,detail
Cheirogaleus medius,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Daubentonia madagascariensis,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Erythrocebus patas,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Eulemur fulvus,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Galago senegalensis,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Galagoides demidoff,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Gorilla sp.,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Homo sapiens,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Hylobates lar,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Indri indri,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Lagothrix lagothricha,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Lepilemur ruficaudatus,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Lophocebus albigena,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Loris tardigradus,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Macaca mulatta,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Microcebus murinus,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Miopithecus talapoin,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Nasalis larvatus,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Nycticebus coucang,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Otolemur crassicaudatus,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Pan paniscus,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Pan troglodytes,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Papio anubis,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Perodicticus potto,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Piliocolobus badius,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Pithecia monachus,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Pongo sp.,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Propithecus verreauxi,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Pygathrix nemaeus,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Saguinus midas,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Saguinus oedipus,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Saimiri sciureus,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Tarsius sp.,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Varecia variegata,Facial_motor_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Facial_motor_nucleus_left_Vol.mm3 (only one side measured)
Alouatta seniculus,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Aotus trivirgatus,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Ateles geoffroyi,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Avahi laniger,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Avahi occidentalis,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Callicebus moloch,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Callimico goeldii,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Callithrix jacchus,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Callithrix pygmaea,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Cebus albifrons,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Cercopithecus ascanius,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Cercopithecus mitis,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Cheirogaleus major,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Cheirogaleus medius,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Daubentonia madagascariensis,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Erythrocebus patas,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Eulemur fulvus,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Galago senegalensis,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Galagoides demidoff,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Gorilla sp.,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Homo sapiens,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Hylobates lar,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Indri indri,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Lagothrix lagothricha,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Lepilemur ruficaudatus,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Lophocebus albigena,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Loris tardigradus,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Macaca mulatta,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Microcebus murinus,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Miopithecus talapoin,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Nasalis larvatus,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Nycticebus coucang,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Otolemur crassicaudatus,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Pan paniscus,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Pan troglodytes,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Papio anubis,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Perodicticus potto,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Piliocolobus badius,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Pithecia monachus,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Pongo sp.,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Propithecus verreauxi,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Pygathrix nemaeus,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Saguinus midas,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Saguinus oedipus,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Saimiri sciureus,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Tarsius sp.,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Varecia variegata,Hypoglossal_nucleus_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Hypoglossal_nucleus_left_Vol.mm3 (only one side measured)
Ateles geoffroyi,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Avahi occidentalis,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Callithrix pygmaea,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Cebus albifrons,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Cercopithecus ascanius,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Cheirogaleus major,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Crocidura flavescens,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Crocidura russula,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Echinops telfairi,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Erinaceus europaeus,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Eulemur fulvus,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Galagoides demidoff,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Gorilla sp.,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Hemicentetes semispinosus,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Homo sapiens,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Hylobates lar,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Lagothrix lagothricha,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Lepilemur ruficaudatus,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Lophocebus albigena,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Loris tardigradus,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Microcebus murinus,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Nasalis larvatus,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Otolemur crassicaudatus,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Pan troglodytes,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Papio anubis,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Perodicticus potto,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Piliocolobus badius,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Propithecus verreauxi,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Saguinus oedipus,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Saimiri sciureus,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Setifer setosus,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Sorex araneus,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Sorex minutus,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Suncus murinus,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Tarsius sp.,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Tenrec ecaudatus,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Tupaia glis,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Ateles geoffroyi,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Avahi occidentalis,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Callithrix pygmaea,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Cebus albifrons,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Cercopithecus ascanius,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Cheirogaleus major,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Crocidura flavescens,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Crocidura russula,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Echinops telfairi,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Erinaceus europaeus,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Eulemur fulvus,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Galagoides demidoff,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Gorilla sp.,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Hemicentetes semispinosus,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Homo sapiens,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Hylobates lar,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Lagothrix lagothricha,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Lepilemur ruficaudatus,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Lophocebus albigena,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Loris tardigradus,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Microcebus murinus,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Nasalis larvatus,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Otolemur crassicaudatus,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Pan troglodytes,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Papio anubis,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Perodicticus potto,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Piliocolobus badius,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Propithecus verreauxi,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Saguinus oedipus,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Saimiri sciureus,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Setifer setosus,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Sorex araneus,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
