ref_key,cited_in_column,citation,note
"Koteja, Jurczyszyn & Wołoszyn (2001)",References,"Koteja, P., Jurczyszyn, M. & Wołoszyn, B. (2001). Energy balance of hibernating mouse-eared bat Myotis myotis: a study with a TOBEC instrument. Acta Theriologica 46, 1–12.",
Kristoffersson & Soivio (1964),References,"Kristoffersson, R. & Soivio, A. (1964). Hibernation of the hedgehog (Erinaceus europaeus L.): the periodicity of hibernation of undisturbed animals during the winter in a constant ambient temperature. Annales Academiae Scientiarum Fennicae A IV Biologica 80, 3–22.",
Krüger et al. (1982),References,"Krüger, K., Prinzinger, R. & Schuchmann, K. L. (1982). Torpor and metabolism in hummingbirds. Comparative Biochemistry and Physiology Part A: Physiology 73, 679–689.",
"Krüger, Prinzinger & Schuchmann (1982)",References,"Krüger, K., Prinzinger, R. & Schuchmann, K. L. (1982). Torpor and metabolism in hummingbirds. Comparative Biochemistry and Physiology Part A: Physiology 73, 679–689.",
Kulzer & Storf (1980),References,"Kulzer, E. & Storf, R. (1980). Schlaf-Lethargie bei dem afrikanischen Langzungenflughund Megaloglossus woermanni Pagenstecher, 1885. Zeitschrift für Säugetierkunde 45, 23–29.",
Kulzer (1965),References,"Kulzer, E. (1965). Temperaturregulation bei Fledermäusen (Chiroptera) aus verschiedenen Klimazonen. Zeitschrift für vergleichende Physiologie 50, 1–34.",
Kulzer et al. (1970),References,"Kulzer, E., Nelson, J. E., McKean, J. L. & Möhres, F. P. (1970). Untersuchungen über die Temperaturregulation australischer Fledermäuse (Microchiroptera). Zeitschrift für vergleichende Physiologie 69, 426–451.",
Körtner & Geiser (2000b),References,"Körtner, G. & Geiser, F. (2000b). Torpor and activity patterns in free-ranging sugar gliders Petaurus breviceps (Marsupialia). Oecologia 123, 350–357.",
Körtner & Geiser (2009),References,"Körtner, G. & Geiser, F. (2009). The key to winter survival: daily torpor in a small arid-zone marsupial. Naturwissenschaften 96, 525–530.",
Körtner et al. (2000),References,"Körtner, G., Brigham, R. M. & Geiser, F. (2000). Metabolism: winter torpor in a large bird. Nature 407, 318.",
"Körtner, Brigham & Geiser (2001)",References,"Körtner, G., Brigham, R. M. & Geiser, F. (2001). Torpor in free-ranging tawny frogmouths (Podargus strigoides). Physiological and Biochemical Zoology 74, 789–797.",
"Körtner, Pavey & Geiser (2008)",References,"Körtner, G., Pavey, C. R. & Geiser, F. (2008). Thermal biology, torpor, and activity in free-living mulgaras in arid zone Australia during the winter reproductive season. Physiological and Biochemical Zoology 81, 442–451.",
"Körtner, Rojas & Geiser (2010)",References,"Körtner, G., Rojas, A. D. & Geiser, F. (2010). Thermal biology, torpor use and activity patterns of a small marsupial from a tropical desert: sexual differences. Journal of Comparative Physiology B: Biochemical Systemic and Environmental Physiology 180, 869–876.",
"Lane, Brigham & Swanson (2004)",References,"Lane, J. E., Brigham, R. M. & Swanson, D. L. (2004). Daily torpor in free-ranging whip-poor-wills (Caprimulgus vociferus). Physiological and Biochemical Zoology 77, 297–304.",
Lasiewski & Dawson (1964),References,"Lasiewski, R. C. & Dawson, W. R. (1964). Physiological responses to temperature in the Common Nighthawk. The Condor 66, 477–490.",
Lasiewski (1963),References,"Lasiewski, R. C. (1963). Oxygen consumption of torpid, resting, active and flying hummingbirds. Physiological Zoology 36, 122–140.",
"Lasiewski (1963, 1964)",References,"Lasiewski, R. C. (1963). Oxygen consumption of torpid, resting, active and flying hummingbirds. Physiological Zoology 36, 122–140. | Lasiewski, R. C. (1964). Body temperatures, heart and breathing rate, and evaporative water loss in hummingbirds. Physiological Zoology 37, 212–223.",ref_key covers more than one work; entries separated by ' | '
"Lee, Barnes, & Buck (2009)",References,"Lee, T. N., Barnes, B. M. & Buck, C. L. (2009). Body temperature patterns during hibernation in a free-living Alaska marmot (Marmota broweri). Ethology Ecology & Evolution 21, 403–413.",
Lehmer & Biggins (2005),References,"Lehmer, E. M. & Biggins, D. E. (2005). Variation in torpor patterns of free-ranging black-tailed and Utah prairie dogs across gradients of elevation. Journal of Mammalogy 86, 15–21.",
Lehmer et al. (2001),References,"Lehmer, E. M., Van Horne, B., Kulbartz, B. & Florant, G. L. (2001). Facultative torpor in free-ranging black-tailed prairie dogs (Cynomys ludovicianus). Journal of Mammalogy 82, 551–557.",
Levesque & Tattersall (2010),References,"Levesque, D. L. & Tattersall, G. J. (2010). Seasonal torpor and normothermic energy metabolism in the Eastern chipmunk (Tamias striatus). Journal of Comparative Physiology B: Biochemical Systemic and Environmental Physiology 180, 279–292.",
Levin et al. (2010),References,"Levin, E., Ar, A., Hefetz, A., Yom-Tov, Y. & Kronfeld-Schor, N. (2010). Some like it hot: hibernation patterns of the greater mouse-tailed bat (Rhinopoma microphyllum). In 27th Annual Meeting of the Australian and New Zealand Society for Comparative Physiology and Biochemistry, Abstracts p. 26. Australian National University, Canberra.",
"Levy, Dayan & Kronfeld-Schor (2011)",References,"Levy, O., Dayan, T. & Kronfeld-Schor, N. (2011). Adaptive thermoregulation in golden spiny mice: the influence of season and food availability on body temperature. Physiological and Biochemical Zoology 84, 175–184.",
Lindstedt (1980),References,"Lindstedt, S. L. (1980). Regulated hypothermia in the desert shrew. Journal of Comparative Physiology 137, 173–176.",
"Liu & Karasov (2011, 2012)",References,"Liu, J. N. & Karasov, W. (2011). Hibernation in warm hibernacula by free-ranging Formosan leaf-nosed bats, Hipposideros terasensis, in subtropical Taiwan. Journal of Comparative Physiology B: Biochemical, Systemic, and Environmental Physiology 181, 125–135. | Liu, J. N. & Karasov, W. (2012). Hibernation in a subtropical hibernating bat, the Formosan leaf-nosed bat (Hipposideros terasensis). Journal of Mammalogy 93, 220–228.",ref_key covers more than one work; entries separated by ' | '
Lobban & Lovegrove (2012),References,"Lobban, K. D. & Lovegrove, B. G. (2012). Heterothermy and the evolution of endothermy: lessons from Tenrec ecaudatus. In 14th International Hibernation Symposium (IHS), Abstracts p. 51. Semmering, Austria.",
Lovegrove et al. (2001),References,"Lovegrove, B. G., Raman, J. & Perrin, M. R. (2001). Heterothermy in elephant shrews, Elephantulus spp. (Macroscelidea): daily torpor or hibernation? Journal of Comparative Physiology B: Biochemical, Systemic, and Environmental Physiology 171, 1–10.",
Lovegrove et al. (2013),References,"Lovegrove, B. G., Canale, C., Levesque, D., Fluch, G., Řeháková, P. & Ruf, T. (2013). Are tropical small mammals physiologically vulnerable to arrhenius effects and climate change? Physiological and Biochemical Zoology 87, 30–45.",
"Lovegrove, Lawes & Roxburgh (1999)",References,"Lovegrove, B. G., Lawes, M. J. & Roxburgh, L. (1999). Confirmation of pleisiomorphic daily torpor in mammals: the round-eared elephant shrew Macroscelides proboscideus (Macroscelidea). Journal of Comparative Physiology B: Biochemical, Systemic, and Environmental Physiology 169, 453–460.",
Lyman (1948),References,"Lyman, C. P. (1948). The oxygen consumption and temperature regulation of hibernating hamsters. Journal of Experimental Zoology 109, 55–78.",
Lyman (1958),References,"Lyman, C. P. (1958). Oxygen consumption, body temperature and heart rate of woodchucks entering hibernation. American Journal of Physiology 194, 83–91.",
MacMillen & Nelson (1969),References,"MacMillen, R. E. & Nelson, J. E. (1969). Bioenergetics and body size in dasyurid marsupials. American Journal of Physiology 217, 1246–1251.",
MacMillen & Trost (1967),References,"MacMillen, R. E. & Trost, C. H. (1967). Nocturnal hypothermia in the Inca dove, Scardafella inca. Comparative Biochemistry and Physiology 23, 243–253.",
MacMillen (1983),References,"MacMillen, R. E. (1983). Adaptive physiology of heteromyid rodents. Great Basin Naturalist Memoirs 7, 65–76.",
Macmillen (1965),References,"MacMillen, R. E. (1965). Aestivation in the cactus mouse, Peromyscus eremicus. Comparative Biochemistry and Physiology 16, 227–248.",
Maddocks & Geiser (2007),References,"Maddocks, T. A. & Geiser, F. (2007). Heterothermy in an Australian passerine, the Dusky Woodswallow (Artamus cyanopterus). Journal of Ornithology 148, 571–577.",
Marom et al. (2006),References,"Marom, S., Korine, C., Wojciechowski, M. S., Tracy, C. R. & Pinshow, B. (2006). Energy metabolism and evaporative water loss in the European free-tailed bat and hemprich's long-eared bat (Microchiroptera): species sympatric in the negev desert. Physiological and Biochemical Zoology 79, 944–956.",
Marshall (1955),References,"Marshall, J. T. Jr. (1955). Hibernation in captive goatsuckers. The Condor 57, 129–134.",
Masaki et al. (2005),References,"Masaki, M., Koshimoto, C., Tsuchiya, K., Nishiwaki, A. & Morita, T. (2005). Body temperature profiles of the Korean field mouse Apodemus peninsulae during winter aggregation. Mammal Study 30, 33–40.",
McKechnie & Lovegrove (2001a),References,"McKechnie, A. E. & Lovegrove, B. G. (2001a). Heterothermic responses in the speckled mousebird (Colius striatus). Journal of Comparative Physiology 171, 507–518.",
McKechnie & Lovegrove (2001b),References,"McKechnie, A. E. & Lovegrove, B. G. (2001b). Thermoregulation and the energetic significance of clustering behavior in the white-backed mousebird (Colius colius). Physiological and Biochemical Zoology 74, 238–249.",
McKechnie & Mzilikazi (2011),References,"McKechnie, A. E. & Mzilikazi, N. (2011). Heterothermy in afrotropical mammals and birds: a review. Integrative and Comparative Biology 51, 349–363.",
McNab & Morrison (1963),References,"McNab, B. K. & Morrison, P. (1963). Body temperature and metabolism in subspecies of Peromyscus from arid and mesic environments. Ecological Monographs 33, 63–82.",
Merola-Zwartjes & Ligon (2000),References,"Merola-Zwartjes, M. & Ligon, J. D. (2000). Ecological energetics of the Puerto Rican tody: heterothermy, torpor, and intra-island variation. Ecology 81, 990–1003.",
Morhardt (1970),References,"Morhardt, J. E. (1970). Body temperatures of white-footed mice (Peromyscus sp.) during daily torpor. Comparative Biochemistry and Physiology 33, 423–439.",
Morrison & McNab (1962),References,"Morrison, P. & McNab, B. K. (1962). Daily torpor in a brazilian murine opossum (Marmosa). Comparative Biochemistry and Physiology 6, 57–68.",
Morton & Lee (1978),References,"Morton, S. R. & Lee, A. K. (1978). Thermoregulation and metabolism in Planigale maculata (Marsupialia: Dasyuridae). Journal of Thermal Biology 3, 117–120.",
Mouhoub-Sayah et al. (2008),References,"Mouhoub-Sayah, C., Robin, J.-P., Malan, A., Pevet, P. & Saboureau, M. (2008). Patterns of body temperature change in the Algerian hedgehog (Atelerix algirus). In Hypometabolism in Animals: Torpor, Hibernation and Cryobiology. 13th International Hibernation Symposium (eds B. G. Lovegrove and A. E. McKechnie), pp. 307–316. University of KwaZulu-Natal, Pietermaritzburg.",
Moyle in Reardon (1999),References,"Reardon, T. (1999). Quolls on the run. Australian Geographic 54, 89–105.",printed as 'Moyle in Reardon (1999)'; Moyle's data reported within Reardon (1999)
Muchlinski & Rybak (1978),References,"Muchlinski, A. E. & Rybak, E. N. (1978). Energy consumption of resting and hibernating meadow jumping mice. Journal of Mammalogy 59, 435–437.",
Muller (1996),References,"Muller, J. (1996). Torpor in Sminthopsis douglasi. Honours Thesis: LaTrobe University.",
Mzilikazi & Lovegrove (2002),References,"Mzilikazi, N. & Lovegrove, B. G. (2002). Reproductive activity influences thermoregulation and torpor in pouched mice, Saccostomus campestris. Journal of Comparative Physiology B: Biochemical, Systemic, and Environmental Physiology 172, 7–16.",
Mzilikazi & Lovegrove (2004),References,"Mzilikazi, N. & Lovegrove, B. G. (2004). Daily torpor in free-ranging rock elephant shrews, Elephantulus myurus: a year-long study. Physiological and Biochemical Zoology 77, 285–296.",
Mzilikazi et al. (2012),References,"Mzilikazi, N., Madikiza, Z., Oelkrug, R. & Baxter, R. M. (2012). Hibernation in free-ranging African woodland dormice, Graphiurus murinus. In Living in a Seasonal World. Thermoregulatory and Metabolic Adaptations (eds T. Ruf, C. Bieber, W. Arnold and E. Millesi), pp. 41–50. Springer-Verlag, Heidelberg, New York, Dordrecht, London.",
"Nagel (1977, 1985)",References,"Nagel, A. (1977). Torpor in the European white-toothed shrews. Experientia 33, 1455–1456. | Nagel, A. (1985). Sauerstoffverbrauch, Temperaturregulation und Herzfrequenz bei europäischen Spitzmäusen (Soricidae). Zeitschrift für Säugetierkunde 50, 249–266.",ref_key covers more than one work; entries separated by ' | '
Nagel (1985),References,"Nagel, A. (1985). Sauerstoffverbrauch, Temperaturregulation und Herzfrequenz bei europäischen Spitzmäusen (Soricidae). Zeitschrift für Säugetierkunde 50, 249–266.",
Neumann & Cade (1965),References,"Neumann, R. L. & Cade, T. J. (1965). Torpidity in the Mexican ground squirrel Citellus mexicanus parvidens (Mearns). Canadian Journal of Zoology 43, 133–140.",
Newman & Rudd (1978),References,"Newman, J. R. & Rudd, R. L. (1978). Observations of torpor-like behavior in the shrew, Sorex sinuosus. Acta Theriologica 23, 446–448.",
Nicol & Andersen (2002),References,"Nicol, S. & Andersen, N. A. (2002). The timing of hibernation in Tasmanian echidnas: why do they do it when they do? Comparative Biochemistry and Physiology - Part B: Biochemistry and Molecular Biology 131, 603–611.",
"Nowack, Mzilikazi & Dausmann (2010)",References,"Nowack, J., Mzilikazi, N. & Dausmann, K. H. (2010). Torpor on demand: heterothermy in the non-lemur primate Galago moholi. PLoS ONE 5, e10797.",
"Németh, Nyitrai & Altbäcker (2009)",References,"Németh, I., Nyitrai, V. & Altbäcker, V. (2009). Ambient temperature and annual timing affect torpor bouts and euthermic phases of hibernating European ground squirrels (Spermophilus citellus). Canadian Journal of Zoology-Revue Canadienne de Zoologie 87, 204–210.",
Oelkrug et al. (2012),References,"Oelkrug, R., Meyer, C. W., Heldmaier, G. & Mzilikazi, N. (2012). Seasonal changes in thermogenesis of a free-ranging afrotherian small mammal, the Western rock elephant shrew (Elephantulus rupestris). Journal of Comparative Physiology B: Biochemical Systemic and Environmental Physiology 182, 715–727.",
"Opazo, Nespolo & Bozinovic (1999)",References,"Opazo, J. C., Nespolo, R. F. & Bozinovic, F. (1999). Arousal from torpor in the chilean mouse-opossum (Thylamys elegans): does non-shivering thermogenesis play a role? Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology 123, 393–397.",
Ortmann & Heldmaier (2000),References,"Ortmann, S. & Heldmaier, G. (2000). Regulation of body temperature and energy requirements of hibernating Alpine marmots (Marmota marmota). American Journal of Physiology - Regulatory, Integrative and Comparative Physiology 278, R698–R704.",
Otsu & Kimura (1993),References,"Otsu, R. & Kimura, T. (1993). Effects of food availability and ambient temperature on hibernation in the Japanese dormouse, Glirulus japonicus. Journal of Ethology 11, 37–42.",
Pajunen (1984),References,"Pajunen, I. (1984). Ambient temperature dependence of the periodic respiratory pattern during longterm hibernation in the garden dormouse Eliomys quercinus L. Annales Zoologici Fennici 21, 143–148.",
"Park, Jones & Ransome (2000)",References,"Park, K. J., Jones, G. & Ransome, R. D. (2000). Torpor, arousal and activity of hibernating Greater Horseshoe Bats (Rhinolophus ferrumequinum). Functional Ecology 14, 580–588.",
Peiponen (1965),References,"Peiponen, V. A. (1965). On hypothermia and torpidity in the nightjar (Caprimulgus europaeus L.). Annales Academiae Scientiarum Fennicae A IV Biologica 87, 1–15.",
Pengelley & Kelley (1966),References,"Pengelley, E. T. & Kelley, K. H. (1966). A ""circannian"" rhythm in hibernating species of the genus Citellus with observations on their physiological evolution. Comparative Biochemistry and Physiology 19, 603–617.",
Pengelley (1964),References,"Pengelley, E. T. (1964). Responses of a new hibernator (Citellus variegatus) to controlled environments. Nature 203, 892.",
Perret (1998),References,"Perret, M. (1998). Energetic advantage of nest-sharing in a solitary primate, the lesser mouse lemur (Microcebus murinus). Journal of Mammalogy 79, 1093–1102.",
Perrin & Ridgard (1999),References,"Perrin, M. R. & Ridgard, B. W. (1999). Thermoregulation and patterns of torpor in the spectacled dormouse, Graphiurus ocularis (A. Smith 1829) (Gliridae). Tropical Zoology 12, 253–266.",
Pettigrew & Wilson (1985),References,"Pettigrew, J. D. & Wilson, P. (1985). Nocturnal hypothermia in the white-throated needletail, Hirundapus caudacutus. Emu 85, 200–201.",
Pivorun (1976),References,"Pivorun, E. B. (1976). A biotelemetry study of the thermoregulatory patterns of Tamias striatus and Eutamias minimus during hibernation. Comparative Biochemistry and Physiology Part A: Physiology 53A, 265–271.",
Pohl (1961),References,"Pohl, H. (1961). Temperaturregulation und Tagesperiodik des Stoffwechsels bei Winterschläfern. Zeitschrift für vergleichende Physiologie 45, 109–153.",
Prezlaff & Dausmann (2012),References,"Prezlaff, I. & Dausmann, K. H. (2012). Impact of climatic variation on the hibernation physiology of Muscardinus avellanarius. In Living in a Seasonal World. Thermoregulatory and Metabolic Adaptations (eds T. Ruf, C. Bieber, W. Arnold and E. Millesi), pp. 85–97. Springer-Verlag, Heidelberg, New York, Dordrecht, London.",
"Prinzinger & Siedle (1986, 1988)",References,"Prinzinger, R. & Siedle, K. (1986). Experimenteller Nachweis von Torpor bei jungen Mehlschwalben, Delichon urbica. Journal für Ornithologie 127, 95–96. | Prinzinger, R. & Siedle, K. (1988). Ontogeny of metabolism, thermoregulation and torpor in the house martin Delichon u. urbica (L.) and its ecological significance. Oecologia 76, 307–312.",ref_key covers more than one work; entries separated by ' | '
Prinzinger et al. (1981),References,"Prinzinger, R., Göppel, R., Lorenz, A. & Kulzer, E. (1981). Body temperature and metabolism in the red-backed mousebird (Colius castanotus) during fasting and torpor. Comparative Biochemistry and Physiology Part A: Physiology 69, 689–692.",
Ransome (1990),References,"Ransome, R. (1990). The Natural History of Hibernating Bats. C. Helm, London.",
Riedesel & Williams (1976),References,"Riedesel, M. L. & Williams, B. A. (1976). Continuous 24-hour oxygen consumption studies of Myotis velifer. Comparative Biochemistry and Physiology Part A: Physiology 54, 95–99.",
Ruf & Arnold (2000),References,"Ruf, T. & Arnold, W. (2000). Mechanisms of social thermoregulation in hibernating alpine marmots (Marmota marmota). In Life in the Cold IV (eds G. Heldmaier and M. Klingenspor), pp. 81–94. Springer, Berlin, Heidelberg, New York.",
Ruf et al. (1993),References,"Ruf, T., Stieglitz, A., Steinlechner, S., Blank, J. L. & Heldmaier, G. (1993). Cold exposure and food restriction facilitate physiological responses to short photoperiod in Djungarian hamsters (Phodopus sungorus). Journal of Experimental Zoology 267, 104–112.",
Scantlebury et al. (2008),References,"Scantlebury, M., Lovegrove, B. G., Jackson, C. R., Bennett, N. C. & Lutermann, H. (2008). Hibernation and non-shivering thermogenesis in the Hottentot golden mole (Amblysomus hottentotus longiceps). Journal of Comparative Physiology B: Biochemical, Systemic, and Environmental Physiology 178, 887–897.",
"Schaub, Prinzinger & Schleucher (1999)",References,"Schaub, R., Prinzinger, R. & Schleucher, E. (1999). Energy metabolism and body temperature in the Blue-naped Mousebird (Urocolius macrourus) during torpor. Ornis Fennica 76, 211–219.",
Schlegel (1969),References,"Schlegel, R. (1969). Der Ziegenmelker (Caprimulgus europaeus L.). A. Ziemsen, Wittenberg Lutherstadt.",
Schleucher (2001),References,"Schleucher, E. (2001). Heterothermia in pigeons and doves reduces energetic costs. Journal of Thermal Biology 26, 287–293.",
Schmid (2000),References,"Schmid, J. (2000). Daily torpor in the gray mouse lemur (Microcebus murinus) in Madagascar: energetic consequences and biological significance. Oecologia 123, 175–183.",
"Schmid, Ruf & Heldmaier (2000)",References,"Schmid, J., Ruf, T. & Heldmaier, G. (2000). Metabolism and temperature regulation during daily torpor in the smallest primate, the pygmy mouse lemur (Microcebus myoxinus) in Madagascar. Journal of Comparative Physiology B 170, 59–68.",
Scholl (1974),References,"Scholl, P. (1974). Temperaturregulation beim madegassischen Igeltanrek Echinops telfairi (Martin, 1838). Journal of Comparative Physiology A 89, 175–195.",
Silva-Duran & Bozinovic (1999),References,"Silva-Duran, I. P. & Bozinovic, F. (1999). Food availability regulates energy expenditure and torpor in the Chilean mouse-opossum Thylamys elegans. Revista Chilena de Historia Natural 72, 371–375.",
Siutz et al. (2012),References,"Siutz, C., Pluch, M., Ruf, T. & Millesi, E. (2012). Sex differences in foraging behaviour, body fat and hibernation patterns of free-ranging common hamsters. In Living in a Seasonal World. Thermoregulatory and Metabolic Adaptations (eds T. Ruf, C. Bieber, W. Arnold and E. Millesi), pp. 155–165. Springer-Verlag, Heidelberg, New York, Dordrecht, London.",
Smit & McKechnie (2010),References,"Smit, B. & McKechnie, A. E. (2010). Do owls use torpor? Winter thermoregulation in free-ranging pearl-spotted owlets and African scops-owls. Physiological and Biochemical Zoology 83, 149–156.",
Smit et al. (2011),References,"Smit, B., Boyles, J. G., Brigham, R. M. & McKechnie, A. E. (2011). Torpor in dark times: patterns of heterothermy are associated with the lunar cycle in a nocturnal bird. Journal of Biological Rhythms 26, 241–248.",
Song et al. (1997),References,"Song, X., Körtner, G. & Geiser, F. (1997). Thermal relations of metabolic rate reduction in a hibernating marsupial. American Journal of Physiology - Regulatory, Integrative and Comparative Physiology 273, R2097–R2104.",
"Stawski & Geiser (2010, 2011)",References,"Stawski, C. & Geiser, F. (2010). Seasonality of torpor patterns and physiological variables of a free-ranging subtropical bat. The Journal of Experimental Biology 213, 393–399. | Stawski, C. & Geiser, F. (2011). Do season and distribution affect thermal energetics of a hibernating bat endemic to the tropics and subtropics? American Journal of Physiology - Regulatory, Integrative and Comparative Physiology 301, R542–R547.",ref_key covers more than one work; entries separated by ' | '
"Stawski, Turbill & Geiser (2009)",References,"Stawski, C., Turbill, C. & Geiser, F. (2009). Hibernation by a free-ranging subtropical bat (Nyctophilus bifax). Journal of Comparative Physiology B: Biochemical Systemic and Environmental Physiology 179, 433–441.",
Stephenson & Racey (1993a),References,"Stephenson, P. J. & Racey, P. A. (1993a). Reproductive energetics of the tenrecidae (Mammalia: Insectivora). I. The large-eared tenrec, Geogale aurita. Physiological Zoology 66, 643–663.",
Stephenson & Racey (1993b),References,"Stephenson, P. J. & Racey, P. A. (1993b). Reproductive energetics of the tenrecidae (Mammalia: Insectivora). II. The shrew-tenrecs, Microgale spp. Physiological Zoology 66, 664–685.",
Streicher (2010),References,"Streicher, S. (2010). The effect of environmental variables on body temperature in the Damaraland mole-rat, Fukomys damarensis (Ogilby 1838). MSc Thesis: University of Pretoria.",
Strumwasser (1960),References,"Strumwasser, F. (1960). Some physiological principles governing hibernation in Citellus beecheyi. Bulletin of the Museum of Comparative Zoology 124, 285–320.",
Superina & Boily (2007),References,"Superina, M. & Boily, P. (2007). Hibernation and daily torpor in an armadillo, the pichi (Zaedyus pichiy). Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology 148, 893–898.",
T. Ruf & W. Arnold (unpublished data),References,"Ruf, T. & Arnold, W. (unpublished data). Cited in Ruf & Geiser (2015).",not a published work; cited as such in the printed table
T. Ruf (unpublished data),References,"Ruf, T. (unpublished data). Cited in Ruf & Geiser (2015).",not a published work; cited as such in the printed table
Tannenbaum & Pivorun (1984),References,"Tannenbaum, M. G. & Pivorun, E. B. (1984). Differences in daily torpor patterns among three southeastern species of Peromyscus. Journal of Comparative Physiology B 154, 233–236.",
Tannenbaum & Pivorun (1988),References,"Tannenbaum, M. G. & Pivorun, E. B. (1988). Seasonal study of daily torpor in southeastern Peromyscus maniculatus and Peromyscus leucopus from mountains and foothills. Physiological Zoology 61, 10–16.",
Thompson (1985),References,"Thompson, S. D. (1985). Subspecific differences in metabolism, thermoregulation, and torpor in the western harvest mouse Reithrodontomys megalotis. Physiological Zoology 58, 430–444.",
Thäti (1978),References,"Thäti, H. (1978). Seasonal differences in O2 consumption and respiratory quotient in a hibernator (Erinaceus europaeus L.). Annales Zoologici Fennici 15, 69–75.",
Tinkle & Patterson (1965),References,"Tinkle, D. W. & Patterson, I. G. (1965). A study of hibernating populations of Myotis velifer in northwestern Texas. Journal of Mammalogy 46, 612–633.",
"Tomlinson, Withers & Maloney (2012)",References,"Tomlinson, S., Withers, P. C. & Maloney, S. K. (2012). Flexibility in thermoregulatory physiology of two dunnarts, Sminthopsis macroura and Sminthopsis ooldea (Marsupialia; Dasyuridae). The Journal of Experimental Biology 215, 2236–2246.",
"Tucker (1962, 1965)",References,"Tucker, V. A. (1962). Diurnal torpidity in the California pocket mouse. Science 136, 380–381. | Tucker, V. A. (1965). Oxygen consumption, thermal conductance, and torpor in the California pocket mouse, Perognathus californicus. Journal of Cellular and Comparative Physiology 65, 393–403.",ref_key covers more than one work; entries separated by ' | '
Turbill & Geiser (2008),References,"Turbill, C. & Geiser, F. (2008). Hibernation by tree-roosting bats. Journal of Comparative Physiology B 178, 597–605.",
Turner et al. (2012),References,"Turner, J. M., Körtner, G., Warnecke, L. & Geiser, F. (2012). Summer and winter torpor use by a free-ranging marsupial. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology 162, 274–280.",
Tøien et al. (2011),References,"Tøien, Ø., Blake, J., Edgar, D. M., Grahn, D. A., Heller, H. C. & Barnes, B. M. (2011). Hibernation in black bears: independence of metabolic suppression from body temperature. Science 331, 906–909.",
Vivier & van der Merwe (2011),References,"Vivier, L. & van der Merwe, M. (2011). The incidence of torpor in winter and summer in the Angolan free-tailed bat, Mops condylurus (Microchiroptera: Molossidae), in a subtropical environment, Mpumalanga, South Africa. African Zoology 42, 50–58.",
Vogel (1974),References,"Vogel, P. (1974). Kälteresistenz und reversible Hypothermie der Etruskerspitzmaus (Suncus etruscus, Soricidae, Insectivora). Zeitschrift für Säugetierkunde 39, 78–88.",
Wang & Hudson (1970),References,"Wang, L. C. H. & Hudson, J. W. (1970). Some physiological aspects of temperature regulation in the normothermic and torpid hispid pocket mouse, Perognathus hispidus. Comparative Biochemistry and Physiology 32, 275–293.",
Wang & Hudson (1971),References,"Wang, L. C. H. & Hudson, J. W. (1971). Temperature regulation in normothermic and hibernating eastern chipmunk, Tamias striatus. Comparative Biochemistry and Physiology Part A: Physiology 38, 59–90.",
Wang (1978),References,"Wang, L. C. H. (1978). Energetic and field aspects of mammalian torpor: the Richardson's ground squirrel. In Strategies in Cold: Natural Torpidity and Thermogenesis (eds L. C. H. Wang and J. W. Hudson), pp. 109–145. Academic Press, New York.",
"Warnecke, Turner & Geiser (2008)",References,"Warnecke, L., Turner, J. M. & Geiser, F. (2008). Torpor and basking in a small arid zone marsupial. Naturwissenschaften 95, 73–78.",
Watts et al. (1981),References,"Watts, P. D., Øritsland, N. A., Jonkel, C. & Ronald, K. (1981). Mammalian hibernation and the oxygen consumption of a denning black bear (Ursus americanus). Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology 69, 121–123.",
Waßmer & Wollnik (1997),References,"Waßmer, T. & Wollnik, F. (1997). Timing of torpor bouts during hibernation in European hamsters (Cricetus cricetus L.). Journal of Comparative Physiology B: Biochemical, Systemic, and Environmental Physiology 167, 270–279.",
Willis et al. (2005a),References,"Willis, C. K. R., Lane, J. E., Liknes, E. T., Swanson, D. L. & Brigham, R. M. (2005a). Thermal energetics of female big brown bats (Eptesicus fuscus). Canadian Journal of Zoology 83, 871–879.",
"Willis, Brigham & Geiser (2006)",References,"Willis, C. K. R., Brigham, R. M. & Geiser, F. (2006). Deep, prolonged torpor by pregnant, free-ranging bats. Naturwissenschaften 93, 80–83.",
"Willis, Turbill & Geiser (2005b)",References,"Willis, C. K. R., Turbill, C. & Geiser, F. (2005b). Torpor and thermal energetics in a tiny Australian vespertilionid, the little forest bat (Vespadelus vulturnus). Journal of Comparative Physiology B 175, 479–486.",
Withers (1977),References,"Withers, P. C. (1977). Respiration, metabolism, and heat exchange of euthermic and torpid poorwills and hummingbirds. Physiological Zoology 50, 43–52.",
Withers et al. (1980),References,"Withers, P. C., Louw, G. N. & Henschel, J. (1980). Energetics and water relations of Namib desert rodents. South African Journal of Zoology 15, 131–137.",
"Withers, Louw & Henschel (1980)",References,"Withers, P. C., Louw, G. N. & Henschel, J. (1980). Energetics and water relations of Namib desert rodents. South African Journal of Zoology 15, 131–137.",
"Withers, Richardson & Wooller (1990)",References,"Withers, P. C., Richardson, K. C. & Wooller, R. D. (1990). Metabolic physiology of euthermic and torpid honey possums, Tarsipes rostratus. Australian Journal of Zoology 37, 685–693.",
