Genus,Family
Rhinopoma,Rhinopomatidae
Rhinosciurus,Sciuridae
Rhipidomys,Cricetidae
Rhizomys,Spalacidae
Rhizoplagiodontia,Capromyidae
Rhogeessa,Vespertilionidae
Rhombomys,Muridae
Rhynchocyon,Macroscelididae
Rhynchogale,Herpestidae
Rhyncholestes,Caenolestidae
Rhynchomeles,Peramelidae
Rhynchomys,Muridae
Rhynchonycteris,Emballonuridae
Romerolagus,Leporidae
Rousettus,Pteropodidae
Rubrisciurus,Sciuridae
Rucervus,Cervidae
Rupicapra,Bovidae
Rusa,Cervidae
Ruwenzorisorex,Soricidae
Saccolaimus,Emballonuridae
Saccopteryx,Emballonuridae
Saccostomus,Nesomyidae
Saguinus,Cebidae
Saiga,Bovidae
Saimiri,Cebidae
Salanoia,Eupleridae
Salinoctomys,Octodontidae
Salinomys,Cricetidae
Salpingotulus,Dipodidae
Salpingotus,Dipodidae
Sapajus,Cebidae
Sarcophilus,Dasyuridae
Sauromys,Molossidae
Scalopus,Talpidae
Scapanulus,Talpidae
Scapanus,Talpidae
Scapteromys,Cricetidae
Scaptochirus,Talpidae
Scaptonyx,Talpidae
Sciurillus,Sciuridae
Sciurotamias,Sciuridae
Sciurus,Sciuridae
Scleronycteris,Phyllostomidae
Scolomys,Cricetidae
Scoteanax,Vespertilionidae
Scotinomys,Cricetidae
Scotoecus,Vespertilionidae
Scotomanes,Vespertilionidae
Scotonycteris,Pteropodidae
Scotophilus,Vespertilionidae
Scotorepens,Vespertilionidae
Scotozous,Vespertilionidae
Scutisorex,Soricidae
ScutisorexÊsomereni,Soricidae
Sekeetamys,Muridae
Selevinia,Gliridae
Semnopithecus,Cercopithecidae
Setifer,Tenrecidae
Setonix,Macropodidae
Sicista,Dipodidae
Sigmodon,Cricetidae
Sigmodontomys,Cricetidae
Simias,Cercopithecidae
Sminthopsis,Dasyuridae
Solenodon,Solenodontidae
Solisorex,Soricidae
Solomys,Muridae
Sommeromys,Muridae
Sorex,Soricidae
Soriculus,Soricidae
Sotalia,Delphinidae
Sousa,Delphinidae
Spalacopus,Octodontidae
Spalax,Spalacidae
Spelaeomys,Muridae
Speothos,Canidae
Spermophilopsis,Sciuridae
Spermophilus,Sciuridae
Sphaerias,Pteropodidae
Sphaeronycteris,Phyllostomidae
Sphiggurus,Erethizontidae
Spilocuscus,Phalangeridae
Spilogale,Mephitidae
Srilankamys,Muridae
Steatomys,Nesomyidae
Stenella,Delphinidae
Steno,Delphinidae
Stenocephalemys,Muridae
Stenoderma,Phyllostomidae
Stochomys,Muridae
Strigocuscus,Phalangeridae
Sturnira,Phyllostomidae
Styloctenium,Pteropodidae
Stylodipus,Dipodidae
Suncus,Soricidae
Sundamys,Muridae
Sundasciurus,Sciuridae
Surdisorex,Soricidae
Suricata,Herpestidae
Sus,Suidae
Syconycteris,Pteropodidae
Sylvicapra,Bovidae
Sylvilagus,Leporidae
Sylvisorex,Soricidae
Symphalangus,Hylobatidae
Synaptomys,Cricetidae
Syncerus,Bovidae
Syntheosciurus,Sciuridae
Tachyglossus,Tachyglossidae
Tachyoryctes,Spalacidae
Tadarida,Molossidae
Taeromys,Muridae
Talpa,Talpidae
Tamandua,Myrmecophagidae
Tamias,Sciuridae
Tamiasciurus,Sciuridae
Tamiops,Sciuridae
Tapecomys,Cricetidae
Taphozous,Emballonuridae
Tapirus,Tapiridae
Tarsipes,Tarsipedidae
Tarsius,Tarsiidae
Tarsomys,Muridae
Tasmacetus,Ziphiidae
Tateomys,Muridae
Tatera,Muridae
Taterillus,Muridae
Taurotragus,Bovidae
Taxidea,Mustelidae
Tayassu,Tayassuidae
Tenrec,Tenrecidae
Tetracerus,Bovidae
Thallomys,Muridae
Thalpomys,Cricetidae
Thamnomys,Muridae
Thaptomys,Cricetidae
Theropithecus,Cercopithecidae
Thomasomys,Cricetidae
Thomomys,Geomyidae
Thoopterus,Pteropodidae
Thrichomys,Echimyidae
Thryonomys,Thryonomyidae
Thylamys,Didelphidae
Thylogale,Macropodidae
Thyroptera,Thyropteridae
Tlacuatzin,Didelphidae
Tokudaia,Muridae
Tolypeutes,Dasypodidae
Tomopeas,Molossidae
Tonatia,Phyllostomidae
Trachops,Phyllostomidae
Trachypithecus,Cercopithecidae
Tragelaphus,Bovidae
Tragulus,Tragulidae
Tremarctos,Ursidae
Triaenops,Rhinonycteridae
Trichechus,Trichechidae
Trichosurus,Phalangeridae
Trichys,Hystricidae
Trinomys,Echimyidae
Trinycteris,Phyllostomidae
Trogopterus,Sciuridae
Tryphomys,Muridae
Tscherskia,Cricetidae
Tupaia,Tupaiidae
Tursiops,Delphinidae
Tylomys,Cricetidae
Tylonycteris,Vespertilionidae
Tympanoctomys,Octodontidae
Typhlomys,Platacanthomyidae
Uncia,Felidae
Uranomys,Muridae
Urocyon,Canidae
Uroderma,Phyllostomidae
Urogale,Tupaiidae
Uromys,Muridae
Uropsilus,Talpidae
Urotrichus,Talpidae
Ursus,Ursidae
Vampyressa,Phyllostomidae
Vampyrodes,Phyllostomidae
Vampyrum,Phyllostomidae
Vandeleuria,Muridae
Varecia,Lemuridae
Vernaya,Muridae
Vespadelus,Vespertilionidae
Vespertilio,Vespertilionidae
Vicugna,Camelidae
Viverra,Viverridae
Viverricula,Viverridae
Voalavo,Nesomyidae
Volemys,Cricetidae
Vombatus,Vombatidae
Vormela,Mustelidae
Vulpes,Canidae
Wallabia,Macropodidae
Wiedomys,Cricetidae
Wilfredomys,Cricetidae
Wyulda,Phalangeridae
Xenomys,Cricetidae
Xenuromys,Muridae
Xeromys,Muridae
Xerus,Sciuridae
Zaedyus,Dasypodidae
Zaglossus,Tachyglossidae
Zalophus,Otariidae
Zapus,Dipodidae
Zelotomys,Muridae
Zenkerella,Anomaluridae
Ziphius,Ziphiidae
Zygodontomys,Cricetidae
Zygogeomys,Geomyidae
Zyzomys,Muridae
